l1	000-999	Dewey Decimal System
l4	895	Literatures of East and Southeast Asia
l4	896	African literatures 
l4	897	North American native literatures 
l4	898	South American native literatures 
l4	899	Austronesian & other literatures
l2	900-999	History & geography	
l3	900-909	History 	
l4	900	History & geography 
l4	901	Philosophy and theory of history
l4	902	Miscellany of history
l4	903	Dictionaries & encyclopedias
l4	904	Collected accounts of events 
l4	905	Serial publications of history
l4	906	Organizations & management
l4	907	Education, research & related topics 
l4	908	Groups of people
l4	909	World history 
l3	910-919	Geography & travel 	
l4	910	Geography and travel
l4	911	Historical geography 
l4	912	Maps and plans of surface of earth
l4	913	Geography of and travel in ancient world 
l4	914	Geography of and travel in Europe
l4	915	Geography of and travel in Asia
l4	916	Geography of and travel in Africa
l4	917	Geography of & travel in North America 
l4	918	Geography of & travel in South America 
l4	919	Geography of and travel in other areas
l3	920-929	Biography & genealogy 	
l4	920	Biography, genealogy, insignia
l4	921	Philosophers and psychologists
l4	922	Religious leaders, thinkers, workers
l4	923	People in social sciences
l4	924	Philologists and lexicographers
l4	925	Scientists
l4	926	People in technology
l4	927	People in the arts and recreation
l4	928	People in literature, history, biography, genealogy
l4	929	Genealogy, names & insignia 
l3	930-939	History of ancient world (to ca. 499) 	
l4	930	History of ancient world to ca. 499 
l4	931	China to 420 
l4	932	Egypt to 640 
l4	933	Palestine to 70 
l4	934	India to 647 
l4	935	Mesopotamia & Iranian Plateau to 637 
l4	936	Europe north & west of Italy to ca. 499 
l4	937	Italy & adjacent territories to 476 
l4	938	Greece to 323 
l4	939	Other parts of ancient world
l3	940-949	History of Europe 	
l4	940	History of Europe 
l4	941	British Isles 
l4	942	England and Wales
l4	943	Germany and central Europe
l4	944	France and Monaco
l4	945	Italy, San Marino, Vatican City, Malta
l4	946	Spain, Andorra, Gibraltar, Portugal
l4	947	Russia and east Europe
l4	948	Scandinavia and Finland
l4	949	Other parts of Europe
l3	950-959	History of Asia 	
l4	950	History of Asia
l4	951	China and adjacent areas
l4	952	Japan 
l4	953	Arabian Peninsula and adjacent areas
l4	954	India & south Asia
l4	955	Iran 
l4	956	Middle East (Near East) 
l4	957	Siberia (Asiatic Russia) 
l4	958	Central Asia 
l4	959	Southeast Asia 
l3	960-969	History of Africa 	
l4	960	History of Africa 
l4	961	Tunisia and Libya
l4	962	Egypt, Sudan, South Sudan
l4	963	Ethiopia and Eritrea
l4	964	Morocco, Ceuta, Melilla, Western Sahara
l4	965	Algeria 
l4	966	West Africa and offshore islands
l4	967	Central Africa and offshore islands
l4	968	South Africa & southern Africa
l4	969	South Indian Ocean islands 
l3	970-979	History of North America 	
l4	970	History of North America 
l4	971	Canada 
l4	972	Mexico, Central America, West Indies
l4	973	United States 
l4	974	Northeastern United States 
l4	975	Southeastern United States 
l4	976	South central United States 
l4	977	North central United States 
l4	978	Western United States 
l4	979	Great Basin & Pacific Slope region 
l3	980-989	History of South America	
l4	980	History of South America 
l4	981	Brazil 
l4	982	Argentina 
l4	983	Chile 
l4	984	Bolivia 
l4	985	Peru 
l4	986	Colombia and Ecuador
l4	987	Venezuela 
l4	988	Guiana 
l4	989	Paraguay and Uruguay
l3	990-999	History of other areas 	
l4	990	History of other areas 
l4	993	New Zealand
l4	994	Australia 
l4	995	New Guinea & Melanesia
l4	996	Polynesia & Pacific Ocean islands
l4	997	Atlantic Ocean islands 
l4	998	Arctic islands and Antarctica
l4	999	Extraterrestrial worlds
